name,born,gender_details,basic
Huma Abedin,"['Born: 28-Jul-1976', 'Birthplace: Kalamazoo, MI']","['Gender: Female', 'Religion: Muslim', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Government']","['Father: Syed Zainul Abedin (administrator, b. 1928, d. 1993)', 'Mother: Saleha Mahmood Abedin (sociologist, b. 1940)', 'Husband: Anthony Weiner (former US Congressman, dated 2008-10, m. 10-Jul-2010)', 'Son: Jordan Zain Weiner (b. 21-Dec-2011)']"
Niels Henrik Abel,"['Born: 5-Aug-1802', 'Birthplace: Island of Finnøy, Norway']","['Gender: Male', 'Religion: Lutheran', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Mathematician']","['Father: (Lutheran minister, d. 1820)']"
Sid Abel,"['Born: 22-Feb-1918', 'Birthplace: Melville, Saskatchewan, Canada']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Hockey']","['Brother: Don', 'Wife: Gloria (one son, one daughter)', 'Son: Gerald', 'Daughter: Linda Johnson']"
Walter Abel,"['Born: 6-Jun-1898', 'Birthplace: St. Paul, MN']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Marietta Bitter (harpist, m. 1926, d. 6-Nov-1979, two children)']"
Peter Abelard,"['Born: 1079', 'Birthplace: Pallet, France']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Philosopher, Religion']","['Father: Berengar', 'Mother: Lucia', 'Wife: Heloise (d. 16-May-1164)', 'Son: Astralabius']"
John E. Abele,['Born: c. 1937'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business']","['Father: Mannert Lincoln Abele (Navy submarine commander, d. 1942 war)']"
Arunah Shepherdson Abell,"['Born: 10-Aug-1806', 'Birthplace: East Providence, RI']","['Gender: Male', 'Religion: Protestant', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Publisher, Editor']","['Father: Caleb Abell (farmer and town clerk, d. 1840)', 'Mother: Elona Shepherdson Abell (d. 1847)', 'Sister: Lois Abell French', 'Brother: Daniel H. Abell (farmer)', 'Sister: Mary Abell Wheaton', 'Sister: Nancy Abell Allyn', 'Brother: Caleb Abell Jr.', 'Brother: Robert Abell', 'Sister: Sarah Abell', 'Wife: Mary Fox (m. 1838)', 'Son: George William Abell (Sun executive)', 'Son: Edwin Franklin Abell (Sun executive)', 'Daughter: Helen Maria Abell Baughman (b. 1856, d. 1940)']"
Mark Abene,['Born: 1972'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Hacker']",
David Abercrombie,"['Born: 6-Jun-1867', 'Birthplace: Baltimore, MD']","['Gender: Male', 'Religion: Christian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business']","['Father: John Morrison Abercrombie (b. 23-Jan-1842, d. 7-Jan-1911)', 'Mother: Elizabeth Sarah Daniel Abercrombie (b. 17-Jan-1845, m. 10-Oct-1865, d. 16-Feb-1907)', 'Sister: Elizabeth Abercrombie (b. 20-Jul-1866, d. infancy)', 'Brother: John Robert Abercrombie (b. 21-Feb-1869, d. 1944)', 'Brother: Harry Nethercliff Abercrombie (b. 4-Apr-1871)', 'Sister: Mary Christina Abercrombie (b. 19-May-1873, d. infancy)', 'Sister: Maud Morrison Abercrombie (b. 24-Apr-1876, d. 1-Jul-1965)', 'Brother: Ronald Taylor Abercrombie (b. 19-Jan-1879, d. 8-Mar-1963)', 'Sister: Mary Taylor Abercrombie Verner (b. 26-Dec-1880)', 'Brother: Robert Fulton Abercrombie (b. 8-May-1883, d. 1964)', 'Sister: Myra Abercrombie (b. 28-Jan-1886, d. infancy)', 'Wife: Lucy Abbot Cate Abercrombie (b. 24-Nov-1866, m. 25-Apr-1896)', 'Daughter: Elizabeth Abercrombie Hoisington (b. 6-Mar-1897)', 'Daughter: Lucy Abercrombie (b. 6-Feb-1899, d. 27-Nov-1929)', 'Son: David Abercrombie (b. 24-Oct-1901, d. 11-Mar-1937)', 'Son: Abbott Abercrombie (b. 1909)']"
Ian Abercrombie,"['Born: 11-Sep-1934', 'Birthplace: Grays, Essex, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Elizabeth Romano (m. 17-Feb-1956, div.)', 'Wife: Gladys (until his death)']"
Neil Abercrombie,"['Born: 26-Jun-1938', 'Birthplace: Buffalo, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Father: Donald Abercrombie', 'Mother: Vera June', 'Wife: Nancie Caraway (political scientist)']"
Ralph Abercromby,"['Born: 7-Oct-1734', 'Birthplace: Menstrie, Clackmannanshire, Scotland']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Military']","['Father: George Abercromby', 'Mother: Mary Dundas', 'Brother: Robert', 'Son: James']"
Kathleen Q. Abernathy,"['Born: 5-Jun-1956', 'Birthplace: Louisville, KY']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Government', 'Party Affiliation: Republican']","['Sister: Marilyn Quinn', 'Husband: Charles Fuzell Abernathy (m. 30-Jun-1984)', 'Son: Charles F. Abernathy Jr. (stepson)', 'Daughter: Julia Quinn Abernathy (b. 1995)']"
Ralph Abernathy,"['Born: 21-Mar-1926', 'Birthplace: Linden, AL']","['Gender: Male', 'Religion: Baptist [2]', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Activist']",
Robert E. Abernathy,"['Born: 1954', 'Birthplace: San Marcos, TX']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business']",
Bob Abernethy,['Born: 5-Nov-1927'],"['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Journalist']",['Wife: Marie Cheremeteff Grove (two daughters)']
Walter Abish,"['Born: 24-Dec-1931', 'Birthplace: Vienna, Austria']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Author']",['Wife: Cecile Gelb (artist)']
John Abizaid,"['Born: 1-Apr-1951', 'Birthplace: Coleville, CA']","['Gender: Male', 'Religion: Christian', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Military']",
