name,born,gender_details,basic
Arthur Glenn Andrews,"['Born: 15-Jan-1909', 'Birthplace: Anniston. AL']","['Gender: Male', 'Religion: Anglican/Episcopalian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Republican']","['Father: Roger Lee Andrews', 'Mother: Beryl Elizabeth Jones', 'Wife: Ethel Standish Jackson (m. 1937, d. 2001, two children)']"
Barry Andrews,"['Born: 12-Sep-1956', 'Birthplace: London, England']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Musician, Artist']","['Son: Finn Andrews (musician, b. 1984)']"
C. E. Andrews,['Born: c. 1953'],"['Gender: Male', 'Religion: Presbyterian [1]', 'Race or Ethnicity: White', 'Occupation: Business']",
Charles McLean Andrews,"['Born: 22-Feb-1863', 'Birthplace: Wethersfield, CT']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Historian']",
Dana Andrews,"['Born: 1-Jan-1909', 'Birthplace: Covington County, MS']","['Gender: Male', 'Religion: Baptist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Brother: Steve Forrest (actor, b. 29-Sep-1924, d. 18-May-2013)', 'Wife: Janet Murray (m. 31-Dec-1932, d. 1935, one child)', 'Wife: Mary Todd (m. 17-Nov-1939, two children)', 'Son: David Andrews (b. 1934, d. 1964)', 'Son: Stephen Andrews (b. 1944)', 'Daughter: Katharine Andrews (b. 1942)', 'Daughter: Susan Andrews (b. 1948)']"
David Andrews,"['Born: 1952', 'Birthplace: Baton Rouge, LA']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']",
David R. Andrews,['Born: c. 1942'],"['Gender: Male', 'Race or Ethnicity: Black', 'Occupation: Business']",
Edward Andrews,"['Born: 9-Oct-1914', 'Birthplace: Griffin, GA']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']",
Giuseppe Andrews,"['Born: 25-Apr-1979', 'Birthplace: Key Largo, FL']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']",
Harry Andrews,"['Born: 10-Nov-1911', 'Birthplace: Tonbridge, Kent, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Bisexual', 'Occupation: Actor']","['Son: David Andrews', 'Boyfriend: Basil Hoskins (actor, his longtime companion)']"
Julie Andrews,"['Born: 1-Oct-1935', 'Birthplace: Walton-on-Thames, Surrey, England']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Singer, Actor']","['Father: Ted Wells (woodworking teacher)', 'Mother: Barbara Morris (piano teacher)', 'Father: Ted Andrews (stepfather, singer)', 'Husband: Tony Walton (costume designer, m. 10-May-1959, div. 1967, one daughter)', 'Daughter: Emma Walton Hamilton (author, b. 27-Nov-1962)', 'Husband: Blake Edwards (film director, m. 12-Nov-1969, d. 15-Dec-2010)', 'Son: Geoffrey Edwards (stepson, film director)', 'Daughter: Jennifer Edwards (stepdaughter, actress)', 'Daughter: Amy Lee Edwards (adopted, b. 1974)', 'Daughter: Joanna Lynn Edwards (adopted, b. 1975)']"
LaVerne Andrews,"['Born: 6-Jul-1911', 'Birthplace: Minneapolis, MN']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Singer']","['Father: Peter Andrews', 'Mother: Olga Sollie', 'Sister: Maxene Andrews (singer, b. 3-Jan-1916, d. 21-Oct-1995)', 'Sister: Patty Andrews (singer, b. 16-Feb-1918)', 'Husband: Louis A. Rogers (m. 1948, until her death)']"
Lori B. Andrews,['Born: c. 1953'],"['Gender: Female', 'Race or Ethnicity: White', 'Occupation: Attorney']",
Mark Andrews,"['Born: 19-May-1926', 'Birthplace: Cass County, ND']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Politician', 'Party Affiliation: Republican']",
Maxene Andrews,"['Born: 3-Jan-1916', 'Birthplace: Minneapolis, MN']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Singer']","['Father: Peter Andrews', 'Mother: Olga Sollie', 'Sister: LaVerne Andrews (singer, b. 6-Jul-1911, d. 8-May-1967)', 'Sister: Patty Andrews (singer, b. 16-Feb-1918)', 'Husband: Lou Levy (m. 1941, div. 1950, two children adopted)', 'Daughter: Aledda Ann (adopted)', 'Son: Peter (adopted)']"
Michael A. Andrews,"['Born: 7-Feb-1944', 'Birthplace: Houston, TX']","['Gender: Male', 'Religion: Methodist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']",['Wife: Ann']
Naveen Andrews,"['Born: 17-Jan-1969', 'Birthplace: London, England']","['Gender: Male', 'Race or Ethnicity: Asian/Indian', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Stanley Andrews', 'Mother: Nirmala', 'Wife: Geraldine Feakins (div.)', 'Son: Jaisal', 'Girlfriend: Barbara Hershey (actress, together 1998-2010)']"
Patty Andrews,"['Born: 16-Feb-1918', 'Birthplace: Minneapolis, MN']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Singer']","['Father: Peter Andrews', 'Mother: Olga Sollie', 'Sister: LaVerne Andrews (singer, b. 6-Jul-1911, d. 8-May-1967)', 'Sister: Maxene Andrews (singer, b. 3-Jan-1916, d. 21-Oct-1995)', 'Husband: Marty Melcher (m. 1947, div. 1949)', 'Husband: Wally Weschler (m. 1951)']"
Robert E. Andrews,"['Born: 4-Aug-1957', 'Birthplace: Camden, NJ']","['Gender: Male', 'Religion: Anglican/Episcopalian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Wife: Camille Spinello Andrews', 'Daughter: Jacquelyn', 'Daughter: Josephine']"
Stanley Andrews,"['Born: 28-Aug-1891', 'Birthplace: Chicago, IL']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']",
Tige Andrews,"['Born: 19-Mar-1920', 'Birthplace: Brooklyn, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: George Andrews', 'Mother: Selma', 'Wife: Norma Thornton (m. 19-Dec-1950, d. 1996, three daughters, three sons)', 'Daughter: Barbara', 'Daughter: Gina', 'Daughter: Julie', 'Son: John', 'Son: Steve', 'Son: Tony']"
V. C. Andrews,"['Born: 6-Jun-1923 [1]', 'Birthplace: Portsmouth, VA']","['Gender: Female', 'Race or Ethnicity: White', 'Occupation: Author']","['Father: William Henry Andrews (career Navy)', 'Mother: Lillian Lilnora Parker Andrews (telephone operator)']"
William Andrews,"['Born: 25-Dec-1955', 'Birthplace: Thomasville, GA']","['Gender: Male', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Football']","['Father: Azell Andrews', 'Mother: Ethel Glenn', 'Brother: Roosevelt', 'Brother: Azell, Jr.', 'Brother: Thomas', 'Sister: Mattie', 'Sister: Rosetta', 'Wife: Lydia Elzy (m. 1-Jan-1980, two sons)', 'Son: Andy', 'Son: Micah']"
Ivo Andric,"['Born: 9-Oct-1892', 'Birthplace: Dolac, Ottoman Empire']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Author']","['Father: Antun Andrić (janitor, d. 1895 tuberculosis)', 'Mother: Katarina Pejić Andrić', 'Wife: Milica Babic-Andric (theatrical costume designer, b. 1909, mistress 1950s, m. 1958, d. 1968)']"
Yuri Andropov,"['Born: 14-Jun-1914', 'Birthplace: Nagutskoye, Russia']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Head of State']","['Wife: (one daughter)', 'Son: Igor (diplomat, b. 18-Aug-1941, d. 2006)', 'Daughter: Irina (b. 1946)', 'Wife: Tatyana Fillipovna (d. 1991/92)']"
Edmund Andros,"['Born: 6-Dec-1637', 'Birthplace: London, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Government']","['Father: Amice Andros (d. 7-Apr-1674)', 'Mother: Elizabeth Stone (d. 26-Dec-1686)', 'Wife: Marie Craven (m. Feb-1671)']"
Cecil D. Andrus,"['Born: 25-Aug-1931', 'Birthplace: Hood River, OR']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Father: Hal S. Andrus', 'Mother: Dorothy Johnson', 'Wife: Carol M. May (m. 1949, three daughters)']"
Christian Anfinsen,"['Born: 26-Mar-1916', 'Birthplace: Monessen, PA']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Occupation: Chemist']","['Father: Christian Boehmer Anfinsen (mechanical engineer)', 'Mother: Sophie Rasmussen Anfinsen', 'Sister: Carol Anfinsen Weightman', 'Wife: Florence Kenenger (m. 1941, div. 1978, two daughters, one son)', 'Daughter: Carol Anfinsen Crafts (physician)', 'Son: Christian Anfinsen', 'Daughter: Margot Anfinsen Britton', 'Wife: Libby Shulman Ely Anfinsen (m. 1979)', 'Son: Daniel Ely (stepson)', 'Son: David Ely (stepson)', 'Son: Mark Ely (stepson)', 'Daughter: Tobie Beckerman (stepdaughter; physician)']"
Michael Angarano,"['Born: 3-Dec-1987', 'Birthplace: Brooklyn, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Michael Angarano', 'Mother: Doreen', 'Brother: Andrew', 'Sister: Erica', 'Sister: Kristen', 'Girlfriend: Kristen Stewart (actress, together since 2007)']"
Ashley Parker Angel,"['Born: 1-Aug-1981', 'Birthplace: Redding, CA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Singer']","['Father: Ronald Angel (stepfather)', 'Mother: Paula Vollmers', 'Brother: Taylor (stepbrother)', 'Girlfriend: Tiffany Lynn (model, dated since 2004, 1 son)', 'Son: Lyric (b. Aug-2005)']"
Criss Angel,"['Born: 19-Dec-1967', 'Birthplace: East Meadow, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Magician']","['Wife: JoAnn (m. 2002, div.)', 'Girlfriend: Cameron Diaz (actress, together 2007)', 'Girlfriend: Holly Madison (Playboy playmate, together 2008)', 'Wife: Shaunyl Benson (m. 2015)']"
Heather Angel,"['Born: 9-Feb-1909', 'Birthplace: Oxford, Oxfordshire, England']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']",
Stephen F. Angel,"['Born: c. 1956', 'Birthplace: Winston-Salem, NC']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business']",
Vanessa Angel,"['Born: 10-Nov-1966 [1]', 'Birthplace: London, England']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']",
Pier Angeli,"['Born: 19-Jun-1932', 'Birthplace: Cagliari, Sardinia']","['Gender: Female', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Sister: Marisa Pavan (actress, her twin, b. 19-Jun-1932)', ""Boyfriend: James Dean (were to be married, Pier's mother stopped this)"", ""Boyfriend: Kirk Douglas (engaged in 1950s, according to Douglas' autobiography)"", 'Husband: Vic Damone (m. 1954, div. 1958, one son)', 'Son: Perry Farinola', 'Husband: Armando Trovajoli (m. 1962, div. 1969)']"
Mother Angelica,"['Born: 20-Apr-1923', 'Birthplace: Canton, OH']","['Gender: Female', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Occupation: Religion']","['Father: John Rizzo', 'Mother: Mae Helen Gianfrancisco']"
Robert E. Angelica,['Born: c. 1949'],"['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Business']",
Fra Angelico,"['Born: c. 1395', 'Birthplace: Vicchio, Florence, Italy']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Occupation: Painter']",
Phil Angelides,"['Born: 12-Jun-1953', 'Birthplace: Sacramento, CA']","['Gender: Male', 'Religion: Eastern Orthodox', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Father: (mechanical engineer)', 'Wife: Julanne M. Angelides (""Julie"")', 'Daughter: Megan Garcia-Angelides', 'Daughter: Christina', 'Daughter: Arianna']"
Eva Angelina,"['Born: 14-Mar-1985', 'Birthplace: Orange County, CA']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Bisexual', 'Occupation: Pornstar']",
Norman Angell,"['Born: 26-Dec-1872', 'Birthplace: Holbeach, Lincolnshire, England']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Economist, Politician']","['Father: Thomas Angell Lane', 'Mother: Mary Brittain', 'Sister: Carrie (older)']"
Scott Angelle,['Born: 20-Nov-1961'],"['Gender: Male', 'Religion: Roman Catholic [1]', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']","['Wife: Diane (two sons, three daughters)', 'Son: Zach', 'Daughter: Alexandra', 'Daughter: Simone', 'Son: Jean-Paul', 'Daughter: Marissa']"
Theo Angelopoulos,"['Born: 17-Apr-1935', 'Birthplace: Athens, Greece']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Film Director']",
Maya Angelou,"['Born: 4-Apr-1928', 'Birthplace: St. Louis, MO']","['Gender: Female', 'Race or Ethnicity: Black', 'Occupation: Poet', 'Party Affiliation: Democratic']","['Father: Bailey Johnson (naval dietician)', 'Mother: Vivian Baxter', 'Brother: Bailey, Jr.', 'Son: Claude Johnson (""Guy"", b. 1945 out of wedlock, see Caged Bird Sings)', 'Husband: Tosh Angelos (sailor, married five years, div. 1952)', 'Husband: Paul Du Feu (m. 1973, div. 1981)', 'Husband: Vusumzi Make (div. 1963)']"
Angelyne,"['Born: 2-Oct-1950 [1]', 'Birthplace: Undetermined Location, Poland']","['Gender: Female', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Model']","['Father: Hendrik Goldberg', 'Mother: Bronia Zernicka (d. 1965 cancer)', 'Sister: Annette Block (b. 1954)', 'Husband: Michael Strauss (div.)']"
Kenneth Anger,"['Born: 3-Feb-1930', 'Birthplace: Santa Monica, CA']","['Gender: Male', 'Religion: Cult', 'Race or Ethnicity: White', 'Sexual orientation: Gay', 'Occupation: Film Director, Author']",
Natalie Angier,"['Born: 16-Feb-1958', 'Birthplace: New York City']","['Gender: Female', 'Religion: Atheist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Journalist, Author']","['Father: Keith Angier (d. 1977 cancer)', 'Mother: Adele Angier', 'Husband: Richard Steven Weiss (""Rick"", m. Sep-1991)', 'Daughter: Katherine Weiss Angier']"
Kurt Angle,"['Born: 9-Dec-1968', 'Birthplace: Mount Lebanon, PA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Wrestling']","['Father: (d. construction accident)', 'Brother: Eric Angle (wrestler)', 'Wife: Karen Angle (m. 1998, separated 2005, one daughter)', 'Daughter: Kyra (b. 2002)']"
Anders Jonas Ångström,"['Born: 13-Aug-1814', 'Birthplace: Lögdö, Sweden']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Physicist, Astronomer']",['Son: Knut Johan Ångström (physicist)']
Jennifer Aniston,"['Born: 11-Feb-1969', 'Birthplace: Sherman Oaks, CA']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: John Aniston (actor, b. 24-Jul-1933)', 'Mother: Nancy Dow (author, b. 22-Jul-1936)', 'Boyfriend: Charlie Schlatter (actor, ex-)', 'Boyfriend: Jon Stewart (comic, one date in 1994)', 'Boyfriend: Adam Duritz (musician, Counting Crows; together 1990s)', 'Boyfriend: Tate Donovan (actor, together mid-1990s)', 'Boyfriend: Paul Rudd (actor, together 1998)', 'Husband: Brad Pitt (actor, dated 1999-2000, m. 29-Jul-2000, div. 2-Oct-2005)', 'Boyfriend: Vince Vaughn (actor, together 2005-06)', 'Boyfriend: John Mayer (musician, together 2007-09)', 'Boyfriend: Gerard Butler (actor, together 2009-11)', 'Husband: Justin Theroux actor, together since 2011, m. 5-Aug-2015)']"
John Aniston,"['Born: 24-Jul-1933', 'Birthplace: Crete']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Mother: Stella Anastassakis', 'Wife: Nancy Dow (m. 11-Dec-1965, div. 20-Aug-1980, one daughter)', 'Daughter: Jennifer Aniston (actress, b. 11-Feb-1969)', 'Wife: Sherry Rooney (soap actress, m. 14-Jun-1984, one son)', 'Son: Alexander']"
Paul Anka,"['Born: 30-Jul-1941', 'Birthplace: Ottawa, Ontario, Canada']","['Gender: Male', 'Religion: See Note [1]', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Singer/Songwriter']","['Father: Andy Anka', 'Mother: Camelia', 'Girlfriend: Diana Ayoub (high school)', 'Girlfriend: Annette Funicello (1957)', 'Wife: Anne DeZogheb (m. 16-Feb-1963, sep. 28-Sep-2000, five daughters)', 'Daughter: Amelia', 'Daughter: Anthea', 'Daughter: Alicia', 'Daughter: Amanda', 'Daughter: Alexandra', 'Wife: Anna Yeager (m. 2008)']"
John Ankerberg,['Born: Dec-1945'],"['Gender: Male', 'Religion: Baptist', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Religion']","['Father: Floyd J. Ankerberg (d. 16-Aug-1996)', 'Mother: Elaine Ankerberg (b. 10-Apr-1921, d. 21-Sep-2000)', 'Sister: Sue Miller', 'Sister: Lois Pallansch', 'Wife: Darlene', 'Daughter: Michelle']"
Evelyn Ankers,"['Born: 17-Aug-1918', 'Birthplace: Valparaiso, Chile']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Boyfriend: Glenn Ford (actor, broken engagement)', 'Husband: Richard Denning (actor, m. 6-Sep-1942 until her death, one daughter)', 'Daughter: Dee']"
Morris Ankrum,"['Born: 27-Aug-1896', 'Birthplace: Danville, IL']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Wife: Gillian Gilbert', 'Wife: Joan Wheeler (actress, until his death)', 'Son: David Ankrum']"
Keren Ann,"['Born: 10-Mar-1974', 'Birthplace: Caesaria, Israel']","['Gender: Female', 'Race or Ethnicity: Multiracial', 'Occupation: Singer/Songwriter']",
Ann-Margret,"['Born: 28-Apr-1941', 'Birthplace: Valsjobyn, Sweden']","['Gender: Female', 'Religion: Lutheran', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor, Musician']","['Mother: Anna Aronsson Olsson', 'Boyfriend: Burt Sugarman (dated 1961-62)', 'Husband: Roger Smith (actor, m. 8-May-1967)']"
Anna,"['Born: 28-Jan-1693', 'Birthplace: Moscow, Russia']","['Gender: Female', 'Religion: Russian Orthodox', 'Race or Ethnicity: White', 'Occupation: Royalty']","['Father: Tsar Ivan V', 'Mother: Praskovia Saltuikova', 'Husband: Frederick William (Duke of Courland, m. 1710, d. 1711)']"
Annabella,"['Born: 14-Jul-1909', 'Birthplace: La Varenne Saint Hilaire, Val-de-Marne, France']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Husband: Albert Sorre (d., one daughter)', 'Daughter: Anne Power (later adopted by Tyrone, m. Oskar Werner)', 'Husband: Jean Murat (actor, m. 4-Oct-1934, div. 1938)', 'Husband: Tyrone Power (actor, m. 23-Apr-1939, div. 26-Jan-1948)']"
Dave Annable,"['Born: 15-Sep-1979', 'Birthplace: Suffern, NY']","['Gender: Male', 'Race or Ethnicity: White', 'Occupation: Actor']","['Sister: Rebecca', 'Sister: Stacey (half sister)', 'Wife: Odette Yustman (actress, m. 10-Oct-2010)']"
Ken Annakin,"['Born: 10-Aug-1914', 'Birthplace: Beverley, Yorkshire, England']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Film Director']","['Wife: Pauline (m. 1960, until his death, one daughter)', 'Daughter: Deborah Peters']"
Kofi Annan,"['Born: 8-Apr-1938', 'Birthplace: Kumasi, Ghana']","['Gender: Male', 'Race or Ethnicity: Black', 'Sexual orientation: Straight', 'Occupation: Government']","['Father: Henry Reginald Annan (Regional Minister of Ashanti, b. 1904, d. 1995)', 'Mother: Victoria Esi Annan (b. 1908)', 'Sister: Efua (twin, d. 1991)', 'Sister: Esi Quainoo', 'Brother: Kobina', 'Wife: Titi Alakija (m. 1965, div., one daughter, one son)', 'Daughter: Ama', 'Son: Kojo', 'Wife: Nane Lagergren (Swedish artist and lawyer, m. 1984, until his death)']"
Jean-Jacques Annaud,"['Born: 1-Oct-1943', 'Birthplace: Draveil, Essonne, France']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Film Director']","['Father: Pierre Annaud', 'Mother: Madeleine Tripoz', 'Wife: Monique Rossignol (m. 1970, div. 1980, one daughter)', 'Wife: Laurence Duval (m. 1982, one daughter)']"
Queen Anne,"['Born: 6-Feb-1665', 'Birthplace: London, England [1]']","['Gender: Female', 'Religion: Anglican/Episcopalian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: King James II (d. 1701)', 'Mother: Lady Anne Hyde', 'Sister: Queen Mary II (d. 1694, smallpox)', 'Husband: Prince George of Denmark (b. 1653, m. 28-Jul-1683, d. 1708)', 'Daughter: Mary (b. 2-Jun-1685, d. 8-Feb-1687)', 'Daughter: Anne Sophia (b. 12-May-1686, d. 2-Feb-1687)', 'Son: William, Duke of Gloucester (b. 24-Jul-1689, d. 29-Jul-1700)', 'Daughter: Mary (b. 14-Oct-1690, d. 14-Oct-1690)', 'Son: George (b. 17-Apr-1692, d. 17-Apr-1692)']"
Princess Anne,"['Born: 15-Aug-1950', 'Birthplace: Clarence House, London, England']","['Gender: Female', 'Religion: Anglican/Episcopalian', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Royalty']","['Father: Prince Philip', 'Mother: Queen Elizabeth II', 'Brother: Prince Charles', 'Brother: Prince Andrew', 'Brother: Prince Edward', 'Husband: Mark Phillips (m. 14-Nov-1973, div. Apr-1992)', 'Son: Peter Phillips (b. 15-Nov-1977)', 'Daughter: Zara Phillips (b. 15-May-1981)', 'Husband: Timothy Laurence (m. 12-Dec-1992)']"
Leonore Annenberg,"['Born: 20-Feb-1918', 'Birthplace: New York City']","['Gender: Female', 'Religion: Christian Science', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Socialite, Philanthropist']",
Walter Annenberg,"['Born: 13-Mar-1908', 'Birthplace: Milwaukee, WI']","['Gender: Male', 'Religion: Jewish', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business', 'Party Affiliation: Republican']","['Father: Moses L. Annenberg (""Moe"", d. Jun-1942, brain cancer)', 'Mother: Sarah Cecelia Annenberg (""Sadie"")', 'Sister: Enid Annenberg Haupt (b. 13-May-1906, d. 25-Oct-2005)', 'Sister: Evelyn Hall', 'Wife: Veronica Dunkelman (""Ronnie"", m. 1938, div. 1950, one son, one daughter)', 'Son: Roger (d. 7-Aug-1962 suicide with sleeping pills)', 'Daughter: Wallis', 'Wife: Leonore Annenberg (""Lee"", b. 1918, m. 1951, d. 2009, two stepdaughters)', 'Daughter: Diane Deshong (stepdaughter)', 'Daughter: Elizabeth Kabler (stepdaughter)']"
Mary Anning,"['Born: 21-May-1799', 'Birthplace: Lyme Regis, England']","['Gender: Female', 'Religion: Anglican/Episcopalian', 'Race or Ethnicity: White', 'Occupation: Paleontologist']","['Father: Richard Anning (carpenter, b. circa 1766, d. 1810 tuberculosis)', 'Mother: Mary Moore Anning (""Molly"", m. 8-Aug-1793, d. 1842)', 'Sister: Mary Anning (b. 1794, d. infancy)', 'Sister: Martha Anning (b. 1795, d. infancy)', 'Brother: Joseph Anning (amateur paleontologist, b. 1796)', 'Brother: Henry Anning (b. 1798, d. infancy)', 'Brother: Henry Anning (b. 1801, d. infancy)', 'Brother: Percival Anning (b. 1803, d. infancy)', 'Sister: Elizabeth Anning (b. 1804, d. infancy)', 'Brother: Richard Anning (b. 1809, d. infancy)']"
Francesca Annis,"['Born: 14-May-1944', 'Birthplace: London, England']","['Gender: Female', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Actor']","['Father: Anthony Annis', 'Mother: Mariquita', 'Boyfriend: Patrick Wiseman (dated starting 1976, ex-, one son, two daughters)', 'Boyfriend: Ralph Fiennes (actor, dating 1995-)']"
Frank Annunzio,"['Born: 12-Jan-1915', 'Birthplace: Chicago, IL']","['Gender: Male', 'Religion: Roman Catholic', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Politician', 'Party Affiliation: Democratic']",['Wife: (three daughters)']
Jean Anouilh,"['Born: 23-Jun-1910', 'Birthplace: Bordeaux, France']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Playwright']",['Wife: Monelle Valentin (m. 1932)']
Michael Ansara,"['Born: 15-Apr-1922', 'Birthplace: Syria']","['Gender: Male', 'Religion: Greek Orthodox', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Actor']","['Sister: Rose Browers', 'Wife: Jean Byron (m. 1955, div. 1956)', 'Wife: Barbara Eden (actress, m. 17-Jan-1958, div. 25-May-1974, one son)', 'Son: Matthew Ansara (b. 29-Aug-1965, d. 25-Jun-2001 heroin overdose)', 'Wife: Beverly Kishida (m. 1977, until his death)']"
Anousheh Ansari,"['Born: 12-Sep-1966', 'Birthplace: Mashhad, Iran']","['Gender: Female', 'Religion: Muslim', 'Race or Ethnicity: Middle Eastern', 'Sexual orientation: Straight', 'Occupation: Business']",
Aziz Ansari,"['Born: 23-Feb-1983', 'Birthplace: Columbia, SC']","['Gender: Male', 'Race or Ethnicity: Asian/Indian', 'Occupation: Comic, Actor']",
Philip Anschutz,"['Born: 28-Dec-1939', 'Birthplace: Great Bend, KS']","['Gender: Male', 'Religion: Presbyterian [1]', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Business', 'Party Affiliation: Republican']","['Father: Fred ""Fritz"" Anschutz', 'Mother: Marian Pfister Anschutz', 'Sister: Sue Anschutz-Rogers (older)', 'Wife: Nancy (two daughters, one son)', 'Son: Christian Anschutz']"
Phil Anselmo,"['Born: 30-Jun-1968', 'Birthplace: New Orleans, LA']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Musician']",
Ernest Ansermet,"['Born: 11-Nov-1883', 'Birthplace: Vevey, Switzerland']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Conductor']","['Father: Gabriel A. Ansermet', 'Wife: Marguerite Jaccottet (m. 1906, d. 1940)', 'Mistress: Elena Hurtado (extramarital affair, d. 1942 suicide in front of Ansermet)']"
Andrus Ansip,"['Born: 1-Oct-1956', 'Birthplace: Tartu, Estonia']","['Gender: Male', 'Race or Ethnicity: White', 'Sexual orientation: Straight', 'Occupation: Head of State', 'Party Affiliation: See Note [1]']",['Wife: Anu']
